gene_id	Description	Adipose_Subcutaneous	Adipose_Visceral_Omentum	Adrenal_Gland	Artery_Aorta	Artery_Coronary	Artery_Tibial	Bladder	Brain_Amygdala	Brain_Anterior_cingulate_cortex_BA24	Brain_Caudate_basal_ganglia	Brain_Cerebellar_Hemisphere	Brain_Cerebellum	Brain_Cortex	Brain_Frontal_Cortex_BA9	Brain_Hippocampus	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Putamen_basal_ganglia	Brain_Spinal_cord_cervical_c-1	Brain_Substantia_nigra	Breast_Mammary_Tissue	Cells_Cultured_fibroblasts	Cells_EBV-transformed_lymphocytes	Cervix_Ectocervix	Cervix_Endocervix	Colon_Sigmoid	Colon_Transverse	Colon_Transverse_Mixed_Cell	Colon_Transverse_Mucosa	Colon_Transverse_Muscularis	Esophagus_Gastroesophageal_Junction	Esophagus_Mucosa	Esophagus_Muscularis	Fallopian_Tube	Heart_Atrial_Appendage	Heart_Left_Ventricle	Kidney_Cortex	Kidney_Medulla	Liver	Liver_Hepatocyte	Liver_Mixed_Cell	Liver_Portal_Tract	Lung	Minor_Salivary_Gland	TPM	Nerve_Tibial	Ovary	Pancreas	Pancreas_Acini	Pancreas_Islets	Pancreas_Mixed_Cell	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Small_Intestine_Terminal_Ileum	Small_Intestine_Terminal_Ileum_Lymphode_Aggregate	Small_Intestine_Terminal_Ileum_Mixed_Cell	Spleen	Stomach	Stomach_Mixed_Cell	Stomach_Mucosa	Stomach_Muscularis	Testis	Thyroid	Uterus	Vagina	Whole_Blood	gene_base	pct
ENSG00000125895.6	TMEM74B	3.66311	3.38086	0.946797	0.513124	1.49806	0.459026	0.762245	4.1176	5.94339	9.65056	3.24422	4.9092	10.6216	7.8221	2.25585	8.00027	14.6989	7.0417	1.35656	1.82834	3.17509	0.084216	0.113908	1.53851	1.60016	1.42175	2.18596	2.03287	2.40537	1.29692	2.08179	2.16931	2.17506	3.32904	3.39978	2.16003	1.40566	1.75777	1.04872	0.893889	0.496278	1.91131	20.4281	4.2639	0.823684	4.68568	0.748531	0.477343	0.639758	7.4363	0.615559	7.70314	1.95827	4.70122	6.94314	9.44798	1.97414	7.74742	1.79716	2.03656	2.34564	2.25886	0.513197	3.53234	3.18774	1.81632	1.45447	0.04746	ENSG00000125895	0.7759727609980858
ENSG00000215595.3	C20orf202	1.00569	0.642834	0.240336	0.263485	0.404631	0.405808	0.25917	0.512841	0.434448	0.435015	1.73406	1.83319	0.489119	0.536878	0.496568	0.645788	0.533699	0.465934	1.15721	0.606885	0.592145	0.0343205	0.094914	0.510063	0.394183	0.392994	0.462379	0.510281	0.358994	0.216529	0.468682	0.47317	0.48492	0.488135	0.359557	0.328671	0.354806	0.827278	0.0865365	0.053985	0.064301	0.525355	2.36536	0.607844	0.285962	0.799646	0.218156	0.098619	0.054953	0.411134	0.117201	0.398172	0.355514	0.699238	0.996099	0.87259	0.403904	0.931417	0.451364	0.26393	0.32808	0.244011	0.222313	1.47745	0.469726	0.439542	0.471688	0.068713	ENSG00000215595	0.7167177680280521
ENSG00000101298.15	SNPH	2.88007	2.4544	4.61983	10.6858	6.88237	7.88127	9.50521	55.6742	75.4529	41.4398	50.1082	58.1523	94.1993	90.8584	55.5047	36.7696	54.0472	35.0816	7.16045	20.1514	2.80374	6.28413	0.255735	3.32208	10.4184	15.7298	5.79519	3.65306	1.38476	14.7638	11.2008	1.90709	13.5619	18.7506	3.1346	4.41882	2.64971	4.02376	0.210673	0.141568	0.198102	3.50183	4.76063	7.72986	4.30913	3.97626	3.59933	1.77389	1.48832	12.9434	1.67284	23.729	11.1554	2.00098	1.92103	5.25583	5.22475	4.50854	2.99533	6.36283	5.94725	4.61451	8.63533	9.17575	11.4534	14.3156	4.46222	1.2564	ENSG00000101298	0.8615350736029
ENSG00000125775.15	SDCBP2	11.3212	8.73987	2.54425	4.93778	4.99545	4.29623	14.9913	18.6648	21.6012	18.692	12.5638	13.055	23.6955	24.7509	13.5031	17.0893	26.5461	14.7419	6.09565	11.4433	9.94954	5.13561	2.46698	56.2893	8.52345	4.62102	61.4712	230.217	227.043	23.0219	4.67366	179.172	4.50906	9.19873	2.13588	1.59384	10.2764	7.77527	6.82106	5.462	6.36482	99.6499	26.1648	27.8611	1.73544	6.76941	6.18855	7.65036	8.74165	6.11481	10.5513	5.26562	8.34948	86.4248	94.2626	76.5326	7.03234	162.224	5.34067	31.6419	76.8521	53.5742	4.29031	12.8099	29.1417	9.8883	73.0768	2.66784	ENSG00000125775	0.8138837599308861
ENSG00000196209.13	SIRPB2	5.23854	5.21648	2.90117	3.01325	4.08179	1.36665	2.42797	0.658033	0.395835	0.602464	0.259076	0.274563	0.403467	0.378199	0.666817	0.991712	0.50986	0.467885	2.52883	1.18795	1.97057	0.0115015	0.023306	1.4692	1.98472	2.25006	1.87235	2.02968	1.09031	3.06308	2.56062	0.866692	2.51412	1.99385	1.06444	0.691855	0.705317	0.71142	0.565436	0.512131	0.727773	8.70385	10.2908	1.76877	0.314946	3.94115	0.82177	0.349519	0.272905	0.455831	0.417235	0.664542	1.44276	0.875931	0.963403	3.09429	3.59754	3.28436	22.9732	0.85413	1.04614	0.307754	2.96439	0.534103	1.43322	1.41192	1.48574	52.2218	ENSG00000196209	0.7226127759050023
ENSG00000198053.12	SIRPA	58.8022	70.6073	46.5043	36.9975	36.7533	21.1842	21.8617	96.9391	124.968	88.663	180.284	199.102	193.443	179.095	78.1592	57.3278	94.0785	69.2567	65.8893	49.866	63.389	39.2893	4.48079	40.5907	36.9415	25.7903	17.3945	12.0423	6.31114	20.7639	25.3271	15.23	23.0466	44.2552	22.5955	9.91649	24.3311	27.4559	32.213	41.0292	41.8015	67.0015	71.4557	35.1436	10.6229	49.0976	34.2202	7.38577	7.04317	4.17234	8.35131	15.9264	25.6264	41.164	44.99	28.6059	30.7004	28.47	42.9134	10.3668	10.4478	5.2323	22.5859	10.8996	23.3284	31.0804	37.5452	100.748	ENSG00000198053	0.9131672115596361
ENSG00000125834.13	STK35	12.9096	14.6976	15.2849	12.1857	12.6111	12.771	17.4062	7.75837	9.58373	8.40242	18.5297	21.9065	13.5777	12.5633	7.45279	9.08131	9.88574	6.8712	7.31419	6.01338	13.7305	13.6469	17.5426	17.5515	20.5504	19.4291	15.1091	12.7355	11.4767	14.6777	17.978	23.3372	19.1029	25.8929	8.14128	6.70153	7.05379	8.79764	6.59884	6.76127	6.0116	15.8673	18.8363	15.198	4.62473	15.2061	18.8321	6.16176	5.87865	9.17759	5.6327	20.3325	17.5748	20.4447	19.4276	16.7162	20.4811	15.1661	16.557	12.3352	10.0751	7.89446	14.1995	49.9564	18.0185	25.5541	18.8302	8.55197	ENSG00000125834	0.8655836565988515
ENSG00000088876.13	ZNF343	13.1833	10.4973	7.30719	14.3535	13.1831	15.7903	14.8095	2.76101	2.91445	3.15271	13.3106	12.8256	4.36344	3.94238	3.13272	3.73201	3.36914	2.78273	4.45775	3.41211	13.4117	13.5975	10.3122	15.1695	19.1618	14.9672	8.84358	6.80707	4.87983	13.5243	13.9228	8.15913	13.3569	19.1346	4.33414	2.62028	4.95841	9.9711	4.0832	4.54484	3.95425	9.14022	11.1909	8.99827	6.26187	19.8004	18.234	3.45264	4.10608	5.46041	3.53178	11.0599	14.1531	12.7278	13.7298	8.84908	13.4422	8.74347	9.36785	6.51066	6.88929	4.70122	12.4303	7.76764	15.587	20.8287	14.2385	1.33418	ENSG00000088876	0.8831331628072434
ENSG00000149488.14	TMC2	2.40213	1.28791	0.099804	0.302247	0.726772	0.445122	1.11109	0.428664	0.428723	0.479506	19.5824	21.1306	0.477187	0.399733	0.416392	1.29363	0.935848	0.32382	0.385171	0.311015	1.85394	0.156964	0.183725	0.236077	0.433345	0.296723	0.253407	0.214369	0.107221	0.30065	0.462376	0.249616	0.457542	0.941722	0.099974	0.051865	0.050028	0.233106	0.0168705	0.021419	0.00845	0.165666	2.04506	0.483611	0.226572	1.0646	0.691234	0.215657	0.214988	0.312833	0.298084	6.6843	0.25118	0.282982	0.502228	0.316153	0.532114	0.29948	0.350014	0.143931	0.174223	0.050553	0.463611	1.33855	0.386526	0.524671	0.189608	0.032631	ENSG00000149488	0.7021327054359426
ENSG00000088881.21	EBF4	7.4516	12.3565	7.15846	23.3384	16.0505	16.7582	40.8178	12.0436	10.8198	11.1653	4.20593	6.11295	13.3356	11.203	15.3715	15.5811	10.4626	10.55	12.1538	11.1667	20.5327	0.32306	0.163973	41.2581	70.3126	58.4713	22.9607	12.1907	5.98453	54.6324	41.9383	7.95232	46.5518	51.0155	6.00727	3.00732	8.21813	26.2907	7.35401	6.03987	5.55328	29.4258	23.9375	14.0459	1.21899	18.5556	77.7678	6.59078	6.27295	10.4302	6.56259	30.7606	87.7044	8.28603	7.77664	12.3029	12.3074	11.102	10.5373	14.9793	16.4734	9.69987	44.0921	7.67344	78.9481	83.3615	33.7872	1.04604	ENSG00000088881	0.795758304677045
ENSG00000088882.8	CPXM1	62.5196	90.3409	6.14776	1.05316	6.99662	0.432004	14.2589	0.714064	0.921025	0.641198	0.10252	0.269405	0.680977	0.570887	0.687263	0.351905	0.777521	0.771123	0.588673	0.385151	45.9821	0.73245	32.8765	92.1485	121.484	1.43266	2.91388	2.72489	1.80289	1.14832	0.763066	1.80276	0.476389	64.4248	2.36082	0.745283	4.40277	4.86759	0.135426	0.0	0.119013	4.02759	3.41752	2.68162	0.304281	10.7229	62.498	1.43968	1.25461	0.707228	2.72606	5.98107	12.5274	6.20869	11.2711	3.97421	2.33741	4.33073	1.3616	1.75402	1.4993	0.799936	0.416206	7.46253	24.4087	85.5808	55.3824	0.47869	ENSG00000088882	0.7204953161790862
ENSG00000132635.17	PCED1A	51.7507	62.4836	49.8169	45.4223	53.6254	32.8376	72.2379	28.2682	28.9704	29.2223	61.3822	70.0845	40.4636	35.7849	27.703	36.1915	30.345	26.3367	37.8344	30.9834	56.8983	36.4969	56.5977	91.9796	118.82	44.37	47.0701	41.304	47.7444	55.0812	42.6749	36.3472	37.0548	109.724	18.5602	10.3491	47.2514	110.716	33.4075	37.6361	25.7857	83.714	75.9771	50.8566	7.84843	89.8088	119.486	20.641	34.4525	54.3225	26.3039	102.414	114.598	29.132	24.0098	63.1075	182.211	87.397	121.745	45.9136	49.081	47.3578	51.1229	46.7497	179.218	109.912	73.9652	20.5187	ENSG00000132635	0.8960073179408128
ENSG00000215305.10	VPS16	42.0345	36.9119	29.4761	36.3606	35.9375	32.2609	40.778	12.9218	17.7833	14.7196	63.1946	66.8446	28.8592	27.1569	14.3285	20.7771	17.448	13.507	21.5299	15.9182	41.4907	37.0029	38.5516	54.5957	58.96	34.9257	33.3225	32.7795	29.3087	33.6701	34.1658	30.2471	33.8239	56.0523	14.7728	10.4211	19.5772	36.9883	15.4595	17.5759	20.3725	46.2594	49.1975	33.518	15.5506	49.2937	52.3786	19.7728	23.6005	27.4102	22.2152	41.1909	49.1195	36.3034	36.7391	42.7712	69.144	45.6301	57.8726	30.6295	30.23	25.9681	29.8201	35.6355	66.5439	63.5895	44.7136	34.0186	ENSG00000215305	0.9332576694391272
ENSG00000132670.21	PTPRA	76.6292	54.7815	32.373	68.0516	61.8507	70.1521	56.9399	73.8928	88.8784	73.8816	138.634	141.295	104.277	96.9049	64.9326	80.1597	88.308	59.3588	76.6588	67.1397	66.7306	59.9596	54.5169	71.063	83.4383	52.1173	41.1165	38.7509	29.0486	39.4584	53.0382	39.6504	49.8353	69.7395	19.7287	10.7463	25.2139	42.7018	10.8677	11.9726	12.9717	42.8264	60.5467	46.7622	10.5237	83.3098	75.8783	13.0154	11.4841	40.5127	12.8284	76.2458	50.4997	62.5437	70.0063	41.9902	47.3647	40.0415	43.2225	29.3348	29.1439	18.8638	42.0939	58.5204	73.9237	84.3365	66.6553	21.905	ENSG00000132670	0.912642081547609
ENSG00000185019.17	UBOX5	8.6213	5.67239	6.33392	9.67447	9.12395	12.8588	11.4691	3.60327	4.36652	4.74124	11.0046	11.9089	6.63122	6.13247	3.85085	4.55145	5.51131	4.22563	4.34653	3.90659	8.56354	6.04768	7.28945	8.9745	11.8919	11.5759	6.92879	6.30444	4.85851	9.47849	10.9062	6.38808	10.6296	11.9057	3.50652	2.30823	3.68801	6.50716	2.45367	2.11322	2.07414	5.54226	8.13367	6.18005	8.54803	13.7446	10.5537	3.02806	3.2052	5.87645	3.17036	8.63385	10.7351	10.612	13.3271	7.13769	8.72599	6.69368	8.19347	5.99676	6.43464	5.37043	10.4504	11.9144	9.07144	13.5376	8.53135	6.12294	ENSG00000185019	0.9010045228939746
ENSG00000215251.5	FASTKD5	9.63208	11.5972	19.0518	11.4203	11.8746	9.91777	11.3726	3.74142	5.12918	5.31183	17.9932	15.6457	7.53698	9.12317	4.07711	5.51983	5.49238	4.35763	5.05142	4.55382	9.82197	17.1783	29.8109	10.814	12.4766	10.3427	10.9613	15.682	10.5117	10.5863	11.7772	13.5771	11.1522	13.1125	6.77717	11.3186	6.66727	8.15131	6.8557	8.14351	10.5412	14.8158	13.0009	11.1748	21.6053	8.32843	12.6603	3.27688	2.9422	6.63676	3.50548	9.84233	10.2055	12.0998	11.0606	14.1408	22.588	17.2281	16.1994	9.40392	11.3794	7.58265	12.6715	18.125	12.5266	12.4049	10.4886	4.93798	ENSG00000215251	0.9484695001101079
ENSG00000088899.16	LZTS3	5.66245	5.87957	6.7874	12.8278	8.05705	7.28298	12.8371	45.7718	82.1539	78.502	295.372	311.635	139.562	129.346	42.9176	35.8423	106.448	62.0557	17.3177	17.1933	7.80142	3.47366	1.14662	10.7707	19.8628	9.59989	7.44664	7.13294	6.7161	9.28746	10.8879	3.51698	9.54237	20.5642	9.54911	6.44182	20.0818	34.6005	4.26806	3.69365	3.00741	17.2142	18.297	36.8923	6.8699	17.314	32.3445	18.2126	21.4782	18.3232	18.8511	25.0435	19.5431	5.2685	6.18854	13.8454	4.53301	13.3696	3.55005	23.8737	29.5157	26.0278	12.7719	13.1952	37.9065	16.5942	10.3704	0.500349	ENSG00000088899	0.8886216184168177
ENSG00000125877.13	ITPA	50.1214	47.1734	57.827	52.0621	53.3302	44.8615	48.2794	23.2118	28.0777	28.0504	25.0809	23.9882	31.0128	35.9666	23.8656	24.9438	30.8276	25.1211	28.7379	23.2472	51.6895	84.1094	83.4925	64.565	67.7948	35.6168	42.1316	55.3315	45.2612	33.813	36.1094	66.7325	34.4599	61.0254	18.9666	13.4488	35.4006	59.0898	25.6742	32.1706	32.5394	70.2755	51.7699	49.2815	18.0538	61.6464	55.742	20.7691	28.401	32.4423	24.8843	30.5812	55.4439	60.0937	63.2217	45.8609	86.668	59.0825	65.7993	39.3719	49.9088	48.7976	40.6481	38.3436	93.9732	55.2255	56.0345	20.7369	ENSG00000125877	0.9411346196195348
ENSG00000088836.14	SLC4A11	2.24635	2.88274	7.73025	0.384373	0.521233	0.300052	2.18136	3.303	2.82335	2.97759	2.64378	3.91197	2.63146	1.98984	1.72984	1.64265	4.4269	3.10799	1.36451	1.29957	4.10228	2.7561	0.70142	9.41279	1.46156	0.40162	0.487695	0.596933	0.888124	0.408395	0.642837	21.163	0.668586	2.03532	0.32113	0.353489	7.60305	34.1375	0.137202	0.150301	0.135998	4.61715	3.01856	77.3724	2.77616	0.698334	0.536614	0.287977	0.372138	0.833182	0.260908	7.48863	10.179	15.191	19.6662	0.918368	3.10804	1.61546	1.22889	1.01583	1.41028	1.20403	0.238353	13.2657	105.123	1.29159	7.67964	0.201855	ENSG00000088836	0.8375823691833382
ENSG00000088854.13	DNAAF9	19.0666	16.2983	12.3182	21.5458	21.3806	25.0865	24.1457	15.0387	18.2321	18.2682	24.6963	27.3593	20.9767	20.7268	14.4246	17.8919	19.6873	14.2372	26.8933	15.0309	15.4562	15.7617	0.733609	18.205	23.1086	24.8778	9.57573	5.56142	1.78825	16.1697	25.1263	8.21464	27.2515	22.7211	8.8864	8.36723	10.0042	16.584	1.66114	1.65941	1.51915	14.249	17.8309	8.72136	17.0035	31.1453	21.9155	3.72346	4.09855	7.34087	3.52387	15.5516	15.301	8.15003	9.01306	8.99731	8.5194	7.14528	11.9246	10.2988	10.5879	6.78539	16.9781	21.9638	18.5087	24.0159	16.6764	1.14725	ENSG00000088854	0.9380007792251791
ENSG00000088812.18	ATRN	17.7684	13.9149	25.6711	19.3168	18.1008	14.8259	14.7757	9.87013	14.1869	12.3649	29.8733	27.7104	18.1961	21.7609	10.7898	14.1804	13.6549	10.2911	17.2836	9.48344	17.1219	37.4668	7.8522	17.2687	19.2976	13.2381	11.2191	10.2385	7.12704	9.14513	12.3186	11.8025	12.3449	16.5225	10.3859	7.79312	9.1579	16.7778	15.1408	16.7474	20.3391	15.0652	16.9191	17.3795	8.25099	22.1108	19.5705	10.1704	7.91392	14.7122	9.14165	17.4775	13.835	16.9037	19.8163	16.6849	8.56719	14.1507	13.7801	16.9503	18.4714	16.4881	8.4155	18.0293	27.2093	20.2664	17.1372	1.94531	ENSG00000088812	0.8989717615570952
ENSG00000149451.19	ADAM33	112.499	100.027	4.78114	193.909	109.697	132.954	289.6	6.51457	8.61371	8.317	4.70381	8.27323	13.7263	8.4449	6.00359	5.60325	8.35576	6.08317	3.92901	6.80691	104.049	120.589	0.097724	473.352	521.229	342.027	107.034	67.7495	22.8997	345.128	224.381	46.0251	203.764	313.755	26.8082	12.3213	3.70444	5.98426	1.27378	0.141832	0.623776	45.3679	39.663	35.24	7.0666	184.905	124.298	4.47223	4.77673	4.93681	6.83388	11.9842	195.705	40.8302	40.4287	53.3056	66.6108	50.1894	17.727	38.8329	51.7759	8.66491	217.702	66.5946	49.0755	505.827	369.02	0.19601	ENSG00000149451	0.8904341639422019
ENSG00000088827.13	SIGLEC1	25.3868	24.5221	12.3295	10.3804	14.7924	2.71991	9.86246	0.347128	0.239999	0.606326	0.185248	0.316279	0.398618	0.206436	0.332057	0.490985	0.552957	0.553226	0.888148	0.641387	7.77106	0.031468	0.071652	2.66282	2.06742	10.3995	10.1573	14.0332	7.41803	23.4265	13.1365	1.78125	12.9369	5.45818	3.34022	2.50274	1.17989	0.961293	2.77477	5.40297	5.37796	9.31385	22.1725	5.48181	1.87915	6.48958	2.99823	0.644158	0.656982	0.969328	0.84633	2.18501	1.83625	2.16603	2.68411	14.1384	13.4147	13.7854	19.067	3.19745	4.12451	1.15376	12.845	3.39299	5.07281	2.50009	2.74908	0.995738	ENSG00000088827	0.8179662222824522
